('port 0','TE',1,'port 0',1,'transmission')
198779671153880 0.013736 -0.641639
198777172383643 0.013580 -0.656698
198774673613406 0.013330 -0.667837
198772174843168 0.013015 -0.670242
198769676072931 0.012711 -0.660336
198767177302693 0.012520 -0.639875
198764678532456 0.012493 -0.616574
198762179762219 0.012596 -0.598399
198759680991981 0.012754 -0.588272
198757182221744 0.012907 -0.584705
198754683451506 0.013029 -0.584953
198752184681269 0.013120 -0.586868
198749685911032 0.013186 -0.589223
198747187140794 0.013235 -0.591460
198744688370557 0.013273 -0.593392
198742189600320 0.013305 -0.595003
198739690830082 0.013334 -0.596344
198737192059845 0.013362 -0.597481
198734693289607 0.013389 -0.598476
198732194519370 0.013417 -0.599380
198729695749133 0.013445 -0.600233
198727196978895 0.013473 -0.601065
198724698208658 0.013502 -0.601896
198722199438421 0.013532 -0.602743
198719700668183 0.013563 -0.603618
198717201897946 0.013594 -0.604528
198714703127708 0.013626 -0.605480
198712204357471 0.013658 -0.606480
198709705587234 0.013691 -0.607531
198707206816996 0.013725 -0.608638
198704708046759 0.013760 -0.609806
198702209276521 0.013796 -0.611040
198699710506284 0.013832 -0.612347
198697211736047 0.013870 -0.613734
198694712965809 0.013909 -0.615213
198692214195572 0.013949 -0.616796
198689715425335 0.013991 -0.618500
198687216655097 0.014034 -0.620347
198684717884860 0.014079 -0.622367
198682219114622 0.014127 -0.624597
198679720344385 0.014177 -0.627087
198677221574148 0.014230 -0.629902
198674722803910 0.014285 -0.633129
198672224033673 0.014344 -0.636883
198669725263436 0.014405 -0.641317
198667226493198 0.014469 -0.646633
198664727722961 0.014533 -0.653095
198662228952723 0.014595 -0.661040
198659730182486 0.014649 -0.670874
198657231412249 0.014684 -0.683029
198654732642011 0.014684 -0.697838
198652233871774 0.014622 -0.715216
198649735101536 0.014465 -0.734031
198647236331299 0.014178 -0.751129
198644737561062 0.013761 -0.760550
198642238790824 0.013279 -0.754782
198639740020587 0.012881 -0.730236
198637241250350 0.012713 -0.693632
198634742480112 0.012798 -0.658896
198632243709875 0.013040 -0.635686
198629744939637 0.013320 -0.624806
198627246169400 0.013570 -0.622473
198624747399163 0.013766 -0.624733
198622248628925 0.013913 -0.628951
198619749858688 0.014021 -0.633703
198617251088451 0.014102 -0.638325
198614752318213 0.014163 -0.642564
198612253547976 0.014211 -0.646360
198609754777738 0.014251 -0.649737
198607256007501 0.014284 -0.652750
198604757237264 0.014314 -0.655459
198602258467026 0.014342 -0.657917
198599759696789 0.014367 -0.660173
198597260926551 0.014392 -0.662265
198594762156314 0.014416 -0.664224
198592263386077 0.014439 -0.666077
198589764615839 0.014462 -0.667844
198587265845602 0.014486 -0.669542
198584767075365 0.014509 -0.671185
198582268305127 0.014533 -0.672786
198579769534890 0.014558 -0.674356
198577270764652 0.014583 -0.675904
198574771994415 0.014608 -0.677441
198572273224178 0.014635 -0.678977
198569774453940 0.014662 -0.680523
198567275683703 0.014691 -0.682091
198564776913466 0.014721 -0.683698
198562278143228 0.014753 -0.685362
198559779372991 0.014787 -0.687106
198557280602753 0.014823 -0.688961
198554781832516 0.014862 -0.690964
198552283062279 0.014903 -0.693166
198549784292041 0.014948 -0.695633
198547285521804 0.014996 -0.698451
198544786751566 0.015047 -0.701737
198542287981329 0.015103 -0.705643
198539789211092 0.015161 -0.710370
198537290440854 0.015221 -0.716179
198534791670617 0.015279 -0.723405
198532292900380 0.015331 -0.732450
198529794130142 0.015366 -0.743754
198527295359905 0.015367 -0.757689
198524796589667 0.015310 -0.774300
198522297819430 0.015159 -0.792766
198519799049193 0.014877 -0.810503
198517300278955 0.014445 -0.822135
198514801508718 0.013909 -0.819643
198512302738481 0.013411 -0.796372
198509803968243 0.013142 -0.755140
198507305198006 0.013200 -0.710805
198504806427768 0.013511 -0.678776
198502307657531 0.013912 -0.663785
198499808887294 0.014283 -0.661912
198497310117056 0.014572 -0.667337
198494811346819 0.014776 -0.675735
198492312576581 0.014913 -0.684664
198489813806344 0.015001 -0.692985
198487315036107 0.015056 -0.700289
198484816265869 0.015091 -0.706517
198482317495632 0.015112 -0.711760
